msa,year,value
"Ottawa-Gatineau, Ontario/Quebec",2013,6.4
"Ottawa-Gatineau, Ontario/Quebec",2014,6.7
"Ottawa-Gatineau, Ontario/Quebec",2015,6.5
"Ottawa-Gatineau, Ontario/Quebec",2016,6.5
"Ottawa-Gatineau, Ontario/Quebec",2017,5.5
"Ottawa-Gatineau, Ontario/Quebec",2018,4.6
"Ottawa-Gatineau, Ontario/Quebec",2019,4.7
"Ottawa-Gatineau, Ontario/Quebec",2020,7.5
"Peterborough, Ontario 5 (map)",2001,8.5
"Peterborough, Ontario 5 (map)",2002,6.5
"Peterborough, Ontario 5 (map)",2003,4.3
"Peterborough, Ontario 5 (map)",2004,5.7
"Peterborough, Ontario 5 (map)",2005,7.0
"Peterborough, Ontario 5 (map)",2006,6.1
"Peterborough, Ontario 5 (map)",2007,5.6
"Peterborough, Ontario 5 (map)",2008,6.2
"Peterborough, Ontario 5 (map)",2009,7.7
"Peterborough, Ontario 5 (map)",2010,9.4
"Peterborough, Ontario 5 (map)",2011,9.6
"Peterborough, Ontario 5 (map)",2012,8.5
"Peterborough, Ontario 5 (map)",2013,9.6
"Peterborough, Ontario 5 (map)",2014,8.2
"Peterborough, Ontario 5 (map)",2015,7.7
"Peterborough, Ontario 5 (map)",2016,5.1
"Peterborough, Ontario 5 (map)",2017,6.4
"Peterborough, Ontario 5 (map)",2018,4.8
"Peterborough, Ontario 5 (map)",2019,6.0
"Peterborough, Ontario 5 (map)",2020,10.2
"Québec, Quebec",2001,7.9
"Québec, Quebec",2002,6.4
"Québec, Quebec",2003,6.9
"Québec, Quebec",2004,5.8
"Québec, Quebec",2005,5.5
"Québec, Quebec",2006,5.3
"Québec, Quebec",2007,5.1
"Québec, Quebec",2008,4.4
"Québec, Quebec",2009,5.0
"Québec, Quebec",2010,5.1
"Québec, Quebec",2011,5.3
"Québec, Quebec",2012,5.0
"Québec, Quebec",2013,4.7
"Québec, Quebec",2014,5.3
"Québec, Quebec",2015,4.7
"Québec, Quebec",2016,4.6
"Québec, Quebec",2017,4.2
"Québec, Quebec",2018,3.8
"Québec, Quebec",2019,3.1
"Québec, Quebec",2020,6.6
"Regina, Saskatchewan",2001,5.4
"Regina, Saskatchewan",2002,5.5
"Regina, Saskatchewan",2003,5.6
"Regina, Saskatchewan",2004,4.9
"Regina, Saskatchewan",2005,4.8
"Regina, Saskatchewan",2006,4.9
"Regina, Saskatchewan",2007,4.9
"Regina, Saskatchewan",2008,3.8
"Regina, Saskatchewan",2009,4.4
"Regina, Saskatchewan",2010,4.9
"Regina, Saskatchewan",2011,4.5
"Regina, Saskatchewan",2012,4.2
"Regina, Saskatchewan",2013,3.7
"Regina, Saskatchewan",2014,3.7
"Regina, Saskatchewan",2015,4.4
"Regina, Saskatchewan",2016,5.3
"Regina, Saskatchewan",2017,5.1
"Regina, Saskatchewan",2018,6.0
"Regina, Saskatchewan",2019,5.3
"Regina, Saskatchewan",2020,8.1
"Saguenay, Quebec",2001,11.1
"Saguenay, Quebec",2002,11.5
"Saguenay, Quebec",2003,11.4
"Saguenay, Quebec",2004,11.0
"Saguenay, Quebec",2005,9.9
"Saguenay, Quebec",2006,8.9
"Saguenay, Quebec",2007,8.9
"Saguenay, Quebec",2008,8.4
"Saguenay, Quebec",2009,8.7
"Saguenay, Quebec",2010,8.3
"Saguenay, Quebec",2011,7.3
"Saguenay, Quebec",2012,7.6
"Saguenay, Quebec",2013,7.7
"Saguenay, Quebec",2014,9.6
"Saguenay, Quebec",2015,7.8
"Saguenay, Quebec",2016,8.2
"Saguenay, Quebec",2017,6.7
"Saguenay, Quebec",2018,6.1
"Saguenay, Quebec",2019,5.3
"Saguenay, Quebec",2020,7.7
"Saint John, New Brunswick",2001,9.4
"Saint John, New Brunswick",2002,8.4
"Saint John, New Brunswick",2003,9.2
"Saint John, New Brunswick",2004,8.0
"Saint John, New Brunswick",2005,7.0
"Saint John, New Brunswick",2006,6.0
"Saint John, New Brunswick",2007,4.8
"Saint John, New Brunswick",2008,6.1
"Saint John, New Brunswick",2009,5.7
"Saint John, New Brunswick",2010,7.5
"Saint John, New Brunswick",2011,6.9
"Saint John, New Brunswick",2012,8.7
"Saint John, New Brunswick",2013,8.9
"Saint John, New Brunswick",2014,7.7
"Saint John, New Brunswick",2015,8.2
"Saint John, New Brunswick",2016,8.0
"Saint John, New Brunswick",2017,6.0
"Saint John, New Brunswick",2018,6.3
"Saint John, New Brunswick",2019,6.8
"Saint John, New Brunswick",2020,10.2
"Saskatoon, Saskatchewan",2001,6.2
"Saskatoon, Saskatchewan",2002,6.1
"Saskatoon, Saskatchewan",2003,6.0
"Saskatoon, Saskatchewan",2004,6.1
"Saskatoon, Saskatchewan",2005,5.0
"Saskatoon, Saskatchewan",2006,4.4
"Saskatoon, Saskatchewan",2007,4.0
"Saskatoon, Saskatchewan",2008,3.9
"Saskatoon, Saskatchewan",2009,4.7
"Saskatoon, Saskatchewan",2010,5.5
"Saskatoon, Saskatchewan",2011,5.6
"Saskatoon, Saskatchewan",2012,5.5
"Saskatoon, Saskatchewan",2013,4.3
"Saskatoon, Saskatchewan",2014,4.1
"Saskatoon, Saskatchewan",2015,5.8
"Saskatoon, Saskatchewan",2016,6.9
"Saskatoon, Saskatchewan",2017,7.9
"Saskatoon, Saskatchewan",2018,6.7
"Saskatoon, Saskatchewan",2019,5.9
"Saskatoon, Saskatchewan",2020,9.6
"Sherbrooke, Quebec",2001,7.9
"Sherbrooke, Quebec",2002,7.9
"Sherbrooke, Quebec",2003,7.8
"Sherbrooke, Quebec",2004,7.7
"Sherbrooke, Quebec",2005,7.5
"Sherbrooke, Quebec",2006,8.6
"Sherbrooke, Quebec",2007,6.6
"Sherbrooke, Quebec",2008,6.2
"Sherbrooke, Quebec",2009,6.6
